Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
05-12-2003,WIPRO,EQ,1569.95,1561.3,1577.6,1502,1505.8,1508.55,1534.96,454176,6.97143E+13,,45586,0.1004
08-12-2003,WIPRO,EQ,1508.55,1499,1539.7,1485,1535,1526.15,1510.63,635481,9.59978E+13,,76990,0.1212
09-12-2003,WIPRO,EQ,1526.15,1535,1555,1527.6,1545.25,1548.55,1544.48,375261,5.79582E+13,,70614,0.1882
10-12-2003,WIPRO,EQ,1548.55,1540,1610,1526.1,1601.05,1591.45,1568.31,610556,9.57544E+13,,171373,0.2807
11-12-2003,WIPRO,EQ,1591.45,1592,1642.5,1590,1628.15,1635.75,1613.31,703814,1.13547E+14,,120438,0.1711
12-12-2003,WIPRO,EQ,1635.75,1642,1653,1592.6,1597,1609.4,1617.21,748123,1.20987E+14,,197479,0.264
15-12-2003,WIPRO,EQ,1609.4,1625,1674.8,1620,1667.6,1666.75,1648.96,417893,6.89088E+13,,71389,0.1708
16-12-2003,WIPRO,EQ,1666.75,1630,1703,1630,1694.8,1685.75,1657.82,710925,1.17859E+14,,172840,0.2431
17-12-2003,WIPRO,EQ,1685.75,1660.05,1675,1614,1658,1660.65,1659.49,766467,1.27195E+14,,143660,0.1874
18-12-2003,WIPRO,EQ,1660.65,1658,1699,1650,1675.2,1681.85,1673.16,485366,8.12097E+13,,82671,0.1703
19-12-2003,WIPRO,EQ,1681.85,1685,1714,1673.55,1695.1,1705.75,1694.84,500914,8.48971E+13,,75178,0.1501
22-12-2003,WIPRO,EQ,1705.75,1700,1709.45,1667,1678.95,1681.15,1683.64,454604,7.6539E+13,,137438,0.3023
23-12-2003,WIPRO,EQ,1681.15,1671,1700,1650.15,1652.5,1656.5,1676.6,441463,7.40157E+13,,89038,0.2017
24-12-2003,WIPRO,EQ,1656.5,1664.7,1745,1652,1744,1720.5,1689.64,570285,9.63578E+13,,174339,0.3057
26-12-2003,WIPRO,EQ,1720.5,1729,1742.5,1705,1706,1713.8,1719.9,479194,8.24166E+13,,78713,0.1643
29-12-2003,WIPRO,EQ,1713.8,1725.6,1772.7,1725.6,1757,1753.6,1754.96,568902,9.984E+13,,120559,0.2119
30-12-2003,WIPRO,EQ,1753.6,1770,1802,1740.55,1760.15,1757.65,1772.46,527505,9.34982E+13,,105477,0.2
31-12-2003,WIPRO,EQ,1757.65,1769,1774.8,1407,1743,1736.05,1750.81,426154,7.46116E+13,,84473,0.1982
01-01-2004,WIPRO,EQ,1736.05,1752,1778.7,1747,1756.7,1760.9,1762.96,400396,7.05882E+13,,71471,0.1785
